Year,Conference,Union,Churches,Companies,Beginning Membership,Baptisms,Former Member Baptisms,Professions of Faith,Transfers In,Transfers Out,Deaths,Dropped,Missing,Total Gains,Total Losses,Adjust,Net Growth,Ending Membership,Growth Rate,Accession Rate,Death Rate,Ordained Ministers,Licensed Ministers
2001,Central Ghana Conference,Northern Ghana Union Conference,184.0,304.0,72415,3927.0,0.0,10.0,156.0,484.0,301.0,341.0,520.0,4093,1646,1400.0,3847,76262,5.31%,5.44%,0.42%,31.0,22.0
2002,Central Ghana Conference,Northern Ghana Union Conference,197.0,283.0,76262,4548.0,0.0,0.0,190.0,1009.0,346.0,635.0,863.0,4738,2853,0.0,1885,78147,2.47%,5.96%,0.45%,35.0,17.0
2003,Central Ghana Conference,Northern Ghana Union Conference,198.0,300.0,78147,2469.0,0.0,23.0,240.0,722.0,341.0,575.0,674.0,2732,2312,229.0,649,78796,0.83%,3.19%,0.44%,40.0,12.0
2004,Central Ghana Conference,Northern Ghana Union Conference,230.0,298.0,78796,4770.0,0.0,65.0,199.0,494.0,319.0,127.0,251.0,5034,1191,0.0,3843,82639,4.88%,6.14%,0.40%,36.0,17.0
2005,Central Ghana Conference,Northern Ghana Union Conference,230.0,298.0,82639,5585.0,0.0,62.0,229.0,509.0,394.0,161.0,365.0,5876,1429,-1.0,4446,87085,5.38%,6.83%,0.48%,36.0,17.0
2006,Central Ghana Conference,Northern Ghana Union Conference,243.0,304.0,87085,5830.0,0.0,117.0,355.0,486.0,450.0,273.0,507.0,6302,1716,-1598.0,2988,90073,3.43%,6.83%,0.52%,39.0,20.0
2007,Central Ghana Conference,Northern Ghana Union Conference,243.0,305.0,90073,3471.0,0.0,76.0,327.0,648.0,423.0,324.0,519.0,3874,1914,65.0,2025,92098,2.25%,3.94%,0.47%,37.0,20.0
2008,Central Ghana Conference,Northern Ghana Union Conference,253.0,320.0,92098,4753.0,0.0,181.0,184.0,810.0,329.0,231.0,532.0,5118,1902,-27.0,3189,95287,3.46%,5.36%,0.36%,37.0,32.0
2009,Central Ghana Conference,Northern Ghana Union Conference,263.0,333.0,95287,4784.0,0.0,43.0,273.0,578.0,411.0,242.0,452.0,5100,1683,-38.0,3379,98666,3.55%,5.07%,0.43%,38.0,28.0
2010,Central Ghana Conference,Northern Ghana Union Conference,266.0,337.0,98666,2806.0,0.0,90.0,299.0,525.0,210.0,198.0,265.0,3195,1198,1.0,1998,100664,2.03%,2.94%,0.21%,42.0,24.0
2011,Central Ghana Conference,Northern Ghana Union Conference,266.0,340.0,100664,3734.0,0.0,55.0,371.0,672.0,314.0,303.0,509.0,4160,1798,0.0,2362,103026,2.35%,3.76%,0.31%,49.0,35.0
2012,Central Ghana Conference,Northern Ghana Union Conference,276.0,341.0,103026,3157.0,0.0,86.0,299.0,744.0,368.0,330.0,590.0,3542,2032,0.0,1510,104536,1.47%,3.15%,0.36%,57.0,38.0
2013,Central Ghana Conference,Northern Ghana Union Conference,276.0,341.0,104536,4790.0,0.0,96.0,231.0,193.0,299.0,45.0,78.0,5117,615,2.0,4504,109040,4.31%,4.67%,0.29%,57.0,17.0
2014,Central Ghana Conference,Northern Ghana Union Conference,202.0,250.0,109040,4567.0,0.0,70.0,326.0,1026.0,324.0,49.0,28.0,4963,1427,-57585.0,-54049,54991,-49.57%,4.25%,0.30%,57.0,16.0
2015,Central Ghana Conference,Northern Ghana Union Conference,67.0,123.0,54991,1204.0,0.0,16.0,144.0,42516.0,52.0,25.0,1.0,1364,42594,0.0,-41230,13761,-74.98%,2.22%,0.09%,21.0,5.0
2016,Central Ghana Conference,Northern Ghana Union Conference,78.0,117.0,13761,1207.0,0.0,7.0,470.0,529.0,54.0,26.0,0.0,1684,609,0.0,1075,14836,7.81%,8.82%,0.39%,22.0,3.0
2017,Central Ghana Conference,Northern Ghana Union Conference,89.0,117.0,14836,1314.0,0.0,0.0,113.0,202.0,71.0,31.0,0.0,1427,304,0.0,1123,15959,7.57%,8.86%,0.48%,23.0,1.0
2018,Central Ghana Conference,Northern Ghana Union Conference,91.0,121.0,15959,1452.0,0.0,6.0,220.0,542.0,90.0,59.0,5.0,1678,696,0.0,982,16941,6.15%,9.14%,0.56%,0.0,0.0
2019,Central Ghana Conference,Northern Ghana Union Conference,96.0,117.0,16941,1031.0,0.0,36.0,72.0,159.0,75.0,66.0,14.0,1139,314,0.0,825,17766,4.87%,6.30%,0.44%,0.0,0.0
2020,Central Ghana Conference,Northern Ghana Union Conference,101.0,120.0,17766,760.0,0.0,4.0,2014.0,2011.0,69.0,17.0,3.0,2778,2100,0.0,678,18444,3.82%,4.30%,0.39%,0.0,0.0
2021,Central Ghana Conference,Northern Ghana Union Conference,101.0,123.0,18444,1167.0,8.0,0.0,42.0,44.0,33.0,0.0,0.0,1217,77,-69.0,1071,19515,5.81%,6.33%,0.18%,0.0,0.0
2022,Central Ghana Conference,Northern Ghana Union Conference,104.0,125.0,19515,2422.0,12.0,27.0,255.0,231.0,145.0,17.0,0.0,2716,393,-874.0,1449,20964,7.43%,12.55%,0.74%,0.0,0.0
2015,Ashanti Central Ghana Conference,Northern Ghana Union Conference,54.0,47.0,0,1523.0,0.0,4.0,13657.0,551.0,72.0,8.0,0.0,15184,631,-1.0,14552,14552,none,none,none,16.0,5.0
2016,Ashanti Central Ghana Conference,Northern Ghana Union Conference,59.0,46.0,14552,1181.0,0.0,1.0,19.0,22.0,58.0,1.0,1.0,1201,82,0.0,1119,15671,7.69%,8.12%,0.40%,17.0,3.0
2017,Ashanti Central Ghana Conference,Northern Ghana Union Conference,60.0,49.0,15671,1214.0,0.0,0.0,116.0,133.0,76.0,0.0,0.0,1330,209,-48.0,1073,16744,6.85%,7.75%,0.48%,18.0,2.0
2018,Ashanti Central Ghana Conference,Northern Ghana Union Conference,61.0,50.0,16744,1071.0,1.0,0.0,16.0,24.0,53.0,0.0,2.0,1088,79,0.0,1009,17753,6.03%,6.40%,0.32%,0.0,0.0
2019,Ashanti Central Ghana Conference,Northern Ghana Union Conference,76.0,36.0,17753,869.0,1.0,0.0,27.0,30.0,51.0,0.0,1.0,897,82,-127.0,688,18441,3.88%,4.89%,0.29%,0.0,0.0
2020,Ashanti Central Ghana Conference,Northern Ghana Union Conference,76.0,39.0,18441,585.0,6.0,0.0,9.0,17.0,47.0,8.0,0.0,600,72,122.0,650,19091,3.52%,3.17%,0.25%,0.0,0.0
2021,Ashanti Central Ghana Conference,Northern Ghana Union Conference,76.0,44.0,19091,994.0,2.0,1.0,25.0,27.0,57.0,0.0,0.0,1022,84,-44.0,894,19985,4.68%,5.21%,0.30%,0.0,0.0
2022,Ashanti Central Ghana Conference,Northern Ghana Union Conference,81.0,41.0,19985,755.0,3.0,9.0,94.0,116.0,98.0,11.0,0.0,861,225,-115.0,521,20506,2.61%,3.82%,0.49%,0.0,0.0
2015,Ashanti South Ghana Conference,Northern Ghana Union Conference,132.0,159.0,0,2395.0,0.0,15.0,19923.0,169.0,107.0,13.0,1.0,22333,290,259.0,22302,22302,none,none,none,17.0,12.0
2016,Ashanti South Ghana Conference,Northern Ghana Union Conference,143.0,165.0,22302,2299.0,0.0,25.0,1836.0,1941.0,148.0,86.0,23.0,4160,2198,419.0,2381,24683,10.68%,10.42%,0.66%,20.0,12.0
2017,Ashanti South Ghana Conference,Northern Ghana Union Conference,153.0,178.0,24683,2141.0,0.0,34.0,364.0,411.0,114.0,27.0,41.0,2539,593,0.0,1946,26629,7.88%,8.81%,0.46%,23.0,6.0
2018,Ashanti South Ghana Conference,Northern Ghana Union Conference,176.0,178.0,26629,1806.0,24.0,40.0,84.0,256.0,126.0,7.0,1.0,1954,390,-733.0,831,27460,3.12%,6.93%,0.47%,0.0,0.0
2019,Ashanti South Ghana Conference,Northern Ghana Union Conference,176.0,184.0,27460,1039.0,15.0,24.0,44.0,86.0,77.0,3.0,0.0,1122,166,91.0,1047,28507,3.81%,3.87%,0.28%,0.0,0.0
2020,Ashanti South Ghana Conference,Northern Ghana Union Conference,178.0,185.0,28507,763.0,2.0,3.0,147.0,176.0,44.0,3.0,0.0,915,223,253.0,945,29452,3.31%,2.69%,0.15%,0.0,0.0
2021,Ashanti South Ghana Conference,Northern Ghana Union Conference,178.0,188.0,29452,998.0,4.0,1.0,49.0,55.0,44.0,54.0,0.0,1052,153,-549.0,350,29802,1.19%,3.39%,0.15%,0.0,0.0
2022,Ashanti South Ghana Conference,Northern Ghana Union Conference,181.0,188.0,29802,2742.0,3.0,33.0,253.0,265.0,321.0,273.0,1.0,3031,860,-680.0,1491,31293,5.00%,9.31%,1.08%,0.0,0.0
2015,Green View Ghana Conference,Northern Ghana Union Conference,41.0,78.0,0,764.0,0.0,2.0,10207.0,3409.0,82.0,37.0,101.0,10973,3629,0.0,7344,7344,none,none,none,5.0,3.0
2016,Green View Ghana Conference,Northern Ghana Union Conference,47.0,87.0,7344,691.0,0.0,6.0,38.0,72.0,31.0,37.0,26.0,735,166,0.0,569,7913,7.75%,9.49%,0.42%,7.0,9.0
2017,Green View Ghana Conference,Northern Ghana Union Conference,58.0,88.0,7913,951.0,0.0,5.0,50.0,100.0,24.0,38.0,36.0,1006,198,4.0,812,8725,10.26%,12.08%,0.30%,7.0,9.0
2018,Green View Ghana Conference,Northern Ghana Union Conference,68.0,91.0,8725,545.0,0.0,2.0,32.0,99.0,36.0,31.0,136.0,579,302,0.0,277,9002,3.17%,6.27%,0.41%,0.0,0.0
2019,Green View Ghana Conference,Northern Ghana Union Conference,87.0,108.0,9002,399.0,0.0,2.0,1845.0,40.0,26.0,49.0,169.0,2246,284,-3314.0,-1352,7650,-15.02%,4.45%,0.29%,0.0,0.0
2020,Green View Ghana Conference,Northern Ghana Union Conference,95.0,112.0,7650,298.0,0.0,2.0,17.0,9.0,27.0,12.0,15.0,317,63,0.0,254,7904,3.32%,3.92%,0.35%,0.0,0.0
2021,Green View Ghana Conference,Northern Ghana Union Conference,99.0,107.0,7904,920.0,0.0,2.0,31.0,27.0,38.0,0.0,144.0,953,209,-784.0,-40,7864,-0.51%,11.66%,0.48%,0.0,0.0
2022,Green View Ghana Conference,Northern Ghana Union Conference,100.0,107.0,7864,805.0,1.0,2.0,61.0,68.0,21.0,19.0,173.0,869,281,-74.0,514,8378,6.54%,10.26%,0.27%,0.0,0.0
2015,Mid-Central Ghana Conference,Northern Ghana Union Conference,57.0,45.0,0,1520.0,0.0,10.0,21164.0,3675.0,92.0,8.0,38.0,22694,3813,103.0,18984,18984,none,none,none,17.0,1.0
2016,Mid-Central Ghana Conference,Northern Ghana Union Conference,69.0,38.0,18984,1370.0,0.0,1.0,1223.0,1677.0,115.0,16.0,105.0,2594,1913,0.0,681,19665,3.59%,7.22%,0.61%,18.0,1.0
2017,Mid-Central Ghana Conference,Northern Ghana Union Conference,74.0,40.0,19665,1259.0,2.0,10.0,147.0,543.0,68.0,10.0,2.0,1418,623,0.0,795,20460,4.04%,6.45%,0.35%,18.0,6.0
2018,Mid-Central Ghana Conference,Northern Ghana Union Conference,78.0,47.0,20460,908.0,1.0,6.0,124.0,446.0,83.0,11.0,0.0,1039,540,0.0,499,20959,2.44%,4.47%,0.41%,0.0,0.0
2019,Mid-Central Ghana Conference,Northern Ghana Union Conference,79.0,50.0,20959,679.0,1.0,2.0,758.0,776.0,55.0,0.0,0.0,1440,831,-654.0,-45,20914,-0.21%,3.25%,0.26%,0.0,0.0
2020,Mid-Central Ghana Conference,Northern Ghana Union Conference,80.0,54.0,20914,605.0,0.0,0.0,6.0,6.0,19.0,0.0,0.0,611,25,0.0,586,21500,2.80%,2.89%,0.09%,0.0,0.0
2021,Mid-Central Ghana Conference,Northern Ghana Union Conference,81.0,54.0,21500,710.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,711,2,-32.0,677,22177,3.15%,3.30%,0.00%,0.0,0.0
2022,Mid-Central Ghana Conference,Northern Ghana Union Conference,85.0,51.0,22177,1338.0,1.0,103.0,105.0,118.0,82.0,41.0,0.0,1547,241,-155.0,1151,23328,5.19%,6.50%,0.37%,0.0,0.0
2015,Mid-North Ghana Conference,Northern Ghana Union Conference,90.0,129.0,0,2180.0,0.0,6.0,23973.0,300.0,106.0,21.0,17.0,26159,444,-372.0,25343,25343,none,none,none,17.0,9.0
2016,Mid-North Ghana Conference,Northern Ghana Union Conference,109.0,130.0,25343,1585.0,0.0,2.0,4654.0,5178.0,182.0,119.0,64.0,6241,5543,4.0,702,26045,2.77%,6.26%,0.72%,17.0,12.0
2017,Mid-North Ghana Conference,Northern Ghana Union Conference,109.0,148.0,26045,2294.0,0.0,0.0,183.0,1029.0,136.0,134.0,39.0,2477,1338,9.0,1148,27193,4.41%,8.81%,0.52%,17.0,14.0
2018,Mid-North Ghana Conference,Northern Ghana Union Conference,118.0,152.0,27193,1493.0,88.0,1.0,3576.0,4570.0,110.0,65.0,75.0,5158,4820,0.0,338,27531,1.24%,5.49%,0.40%,0.0,0.0
2019,Mid-North Ghana Conference,Northern Ghana Union Conference,139.0,124.0,27531,1002.0,0.0,1.0,283.0,1281.0,86.0,350.0,171.0,1286,1888,-3157.0,-3759,23772,-13.65%,3.64%,0.31%,0.0,0.0
2020,Mid-North Ghana Conference,Northern Ghana Union Conference,140.0,131.0,23772,543.0,1.0,9.0,484.0,484.0,41.0,4.0,5.0,1037,534,-235.0,268,24040,1.13%,2.32%,0.17%,0.0,0.0
2021,Mid-North Ghana Conference,Northern Ghana Union Conference,140.0,131.0,24040,1642.0,7.0,5.0,1404.0,1417.0,135.0,125.0,13.0,3058,1690,-183.0,1185,25225,4.93%,6.85%,0.56%,0.0,0.0
2022,Mid-North Ghana Conference,Northern Ghana Union Conference,141.0,133.0,25225,1198.0,8.0,27.0,254.0,242.0,353.0,605.0,158.0,1487,1358,-811.0,-682,24543,-2.70%,4.86%,1.40%,0.0,0.0
1987,Mid-West Ghana Conference,Northern Ghana Union Conference,64.0,0.0,18379,2310.0,0.0,0.0,15.0,3.0,15.0,13.0,0.0,2325,31,0.0,2294,20673,12.48%,12.57%,0.08%,10.0,12.0
1988,Mid-West Ghana Conference,Northern Ghana Union Conference,65.0,0.0,20673,2162.0,0.0,0.0,9.0,78.0,39.0,316.0,0.0,2171,433,0.0,1738,22411,8.41%,10.46%,0.19%,0.0,0.0
1989,Mid-West Ghana Conference,Northern Ghana Union Conference,67.0,0.0,22411,2596.0,0.0,0.0,71.0,194.0,35.0,316.0,0.0,2667,545,0.0,2122,24533,9.47%,11.58%,0.16%,11.0,9.0
1990,Mid-West Ghana Conference,Northern Ghana Union Conference,69.0,0.0,24533,1661.0,0.0,0.0,51.0,219.0,59.0,588.0,0.0,1712,866,0.0,846,25379,3.45%,6.77%,0.24%,16.0,10.0
1991,Mid-West Ghana Conference,Northern Ghana Union Conference,70.0,0.0,25379,1720.0,0.0,0.0,92.0,180.0,82.0,665.0,0.0,1812,927,0.0,885,26264,3.49%,6.78%,0.32%,15.0,11.0
1992,Mid-West Ghana Conference,Northern Ghana Union Conference,71.0,0.0,26264,649.0,0.0,0.0,62.0,172.0,51.0,392.0,0.0,711,615,0.0,96,26360,0.37%,2.47%,0.19%,13.0,10.0
1993,Mid-West Ghana Conference,Northern Ghana Union Conference,78.0,0.0,26360,1817.0,0.0,0.0,126.0,271.0,87.0,368.0,0.0,1943,726,0.0,1217,27577,4.62%,6.89%,0.33%,14.0,12.0
1994,Mid-West Ghana Conference,Northern Ghana Union Conference,78.0,0.0,27577,1714.0,0.0,0.0,53.0,114.0,47.0,150.0,0.0,1767,311,0.0,1456,29033,5.28%,6.22%,0.17%,20.0,9.0
1995,Mid-West Ghana Conference,Northern Ghana Union Conference,92.0,0.0,29033,2259.0,0.0,0.0,1045.0,271.0,78.0,371.0,0.0,3304,720,0.0,2584,31617,8.90%,7.78%,0.27%,21.0,0.0
1996,Mid-West Ghana Conference,Northern Ghana Union Conference,94.0,0.0,31617,3101.0,0.0,0.0,85.0,566.0,150.0,604.0,0.0,3186,1320,0.0,1866,33483,5.90%,9.81%,0.47%,21.0,11.0
1997,Mid-West Ghana Conference,Northern Ghana Union Conference,103.0,247.0,33483,2989.0,0.0,0.0,316.0,1096.0,158.0,574.0,0.0,3305,1828,0.0,1477,34960,4.41%,8.93%,0.47%,21.0,11.0
1998,Mid-West Ghana Conference,Northern Ghana Union Conference,109.0,250.0,34960,2887.0,0.0,10.0,256.0,622.0,111.0,230.0,42.0,3153,1005,413.0,2561,37521,7.33%,8.29%,0.32%,21.0,10.0
1999,Mid-West Ghana Conference,Northern Ghana Union Conference,118.0,251.0,37521,3668.0,0.0,144.0,237.0,382.0,81.0,122.0,32.0,4049,617,0.0,3432,40953,9.15%,10.16%,0.22%,21.0,4.0
2000,Mid-West Ghana Conference,Northern Ghana Union Conference,127.0,252.0,40953,1759.0,0.0,6.0,12.0,313.0,80.0,88.0,40.0,1777,521,-640.0,616,41569,1.50%,4.31%,0.20%,21.0,4.0
2001,Mid-West Ghana Conference,Northern Ghana Union Conference,131.0,264.0,41569,2242.0,0.0,4.0,66.0,344.0,140.0,103.0,19.0,2312,606,1.0,1707,43276,4.11%,5.40%,0.34%,20.0,11.0
2002,Mid-West Ghana Conference,Northern Ghana Union Conference,133.0,263.0,43276,1164.0,0.0,35.0,363.0,658.0,159.0,174.0,0.0,1562,991,0.0,571,43847,1.32%,2.77%,0.37%,16.0,13.0
2003,Mid-West Ghana Conference,Northern Ghana Union Conference,142.0,269.0,43847,1846.0,0.0,35.0,1077.0,1258.0,119.0,140.0,0.0,2958,1517,0.0,1441,45288,3.29%,4.29%,0.27%,19.0,10.0
2004,Mid-West Ghana Conference,Northern Ghana Union Conference,145.0,265.0,45288,2942.0,0.0,51.0,201.0,656.0,152.0,177.0,0.0,3194,985,-1.0,2208,47496,4.88%,6.61%,0.34%,20.0,12.0
2005,Mid-West Ghana Conference,Northern Ghana Union Conference,145.0,265.0,47496,1119.0,0.0,23.0,146.0,278.0,109.0,89.0,0.0,1288,476,141.0,953,48449,2.01%,2.40%,0.23%,20.0,12.0
2006,Mid-West Ghana Conference,Northern Ghana Union Conference,165.0,263.0,48449,3090.0,0.0,40.0,4030.0,4644.0,209.0,874.0,10.0,7160,5737,178.0,1601,50050,3.30%,6.46%,0.43%,20.0,14.0
2007,Mid-West Ghana Conference,Northern Ghana Union Conference,162.0,243.0,50050,1661.0,0.0,13.0,128.0,380.0,115.0,72.0,0.0,1802,567,0.0,1235,51285,2.47%,3.34%,0.23%,22.0,15.0
2008,Mid-West Ghana Conference,Northern Ghana Union Conference,162.0,243.0,51285,2030.0,0.0,591.0,174.0,683.0,209.0,100.0,0.0,2795,992,0.0,1803,53088,3.52%,5.11%,0.41%,20.0,18.0
2009,Mid-West Ghana Conference,Northern Ghana Union Conference,166.0,242.0,53088,2615.0,0.0,0.0,105.0,338.0,227.0,90.0,0.0,2720,655,0.0,2065,55153,3.89%,4.93%,0.43%,24.0,12.0
2010,Mid-West Ghana Conference,Northern Ghana Union Conference,168.0,237.0,55153,1850.0,0.0,12.0,154.0,275.0,151.0,94.0,0.0,2016,520,0.0,1496,56649,2.71%,3.38%,0.27%,23.0,15.0
2011,Mid-West Ghana Conference,Northern Ghana Union Conference,169.0,254.0,56649,2416.0,0.0,46.0,144.0,217.0,168.0,76.0,0.0,2606,461,0.0,2145,58794,3.79%,4.35%,0.30%,22.0,10.0
2012,Mid-West Ghana Conference,Northern Ghana Union Conference,187.0,251.0,58794,2283.0,0.0,1.0,108.0,194.0,144.0,64.0,0.0,2392,402,1023.0,3013,61807,5.12%,3.88%,0.24%,28.0,3.0
2013,Mid-West Ghana Conference,Northern Ghana Union Conference,190.0,280.0,61807,1919.0,0.0,3.0,178.0,218.0,115.0,21.0,2.0,2100,356,0.0,1744,63551,2.82%,3.11%,0.19%,28.0,14.0
2014,Mid-West Ghana Conference,Northern Ghana Union Conference,199.0,295.0,63551,4874.0,0.0,17.0,1049.0,363.0,143.0,117.0,0.0,5940,623,-22957.0,-17640,45911,-27.76%,7.70%,0.23%,55.0,27.0
2015,Mid-West Ghana Conference,Northern Ghana Union Conference,73.0,103.0,45911,1433.0,0.0,26.0,31.0,30098.0,46.0,3.0,0.0,1490,30147,0.0,-28657,17254,-62.42%,3.18%,0.10%,15.0,5.0
2016,Mid-West Ghana Conference,Northern Ghana Union Conference,85.0,121.0,17254,1490.0,0.0,37.0,67.0,124.0,57.0,34.0,0.0,1594,215,-340.0,1039,18293,6.02%,8.85%,0.33%,19.0,11.0
2017,Mid-West Ghana Conference,Northern Ghana Union Conference,89.0,132.0,18293,1863.0,6.0,16.0,169.0,105.0,32.0,8.0,0.0,2054,145,0.0,1909,20202,10.44%,10.27%,0.17%,16.0,4.0
2018,Mid-West Ghana Conference,Northern Ghana Union Conference,97.0,138.0,20202,1426.0,0.0,2.0,106.0,389.0,51.0,4.0,36.0,1534,480,414.0,1468,21670,7.27%,7.07%,0.25%,0.0,0.0
2019,Mid-West Ghana Conference,Northern Ghana Union Conference,91.0,152.0,21670,967.0,0.0,9.0,919.0,2071.0,51.0,26.0,0.0,1895,2148,-1230.0,-1483,20187,-6.84%,4.50%,0.24%,0.0,0.0
2020,Mid-West Ghana Conference,Northern Ghana Union Conference,92.0,154.0,20187,417.0,4.0,0.0,103.0,306.0,24.0,5.0,502.0,524,837,-2446.0,-2759,17428,-13.67%,2.07%,0.12%,0.0,0.0
2021,Mid-West Ghana Conference,Northern Ghana Union Conference,120.0,133.0,17428,1032.0,2.0,0.0,111.0,101.0,52.0,123.0,0.0,1145,276,-32.0,837,18265,4.80%,5.92%,0.30%,0.0,0.0
2022,Mid-West Ghana Conference,Northern Ghana Union Conference,120.0,133.0,18265,1733.0,6.0,3.0,391.0,367.0,189.0,76.0,4.0,2133,636,-919.0,578,18843,3.16%,9.50%,1.03%,0.0,0.0
2015,Mountain View Ghana Conference,Northern Ghana Union Conference,95.0,86.0,0,1900.0,0.0,9.0,24823.0,185.0,213.0,2.0,0.0,26732,400,0.0,26332,26332,none,none,none,17.0,13.0
2016,Mountain View Ghana Conference,Northern Ghana Union Conference,95.0,86.0,26332,1436.0,0.0,22.0,194.0,176.0,162.0,4.0,0.0,1652,342,0.0,1310,27642,4.97%,5.54%,0.62%,17.0,15.0
2017,Mountain View Ghana Conference,Northern Ghana Union Conference,95.0,86.0,27642,1116.0,0.0,19.0,290.0,253.0,149.0,0.0,17.0,1425,419,0.0,1006,28648,3.64%,4.11%,0.54%,24.0,11.0
2018,Mountain View Ghana Conference,Northern Ghana Union Conference,101.0,84.0,28648,1499.0,0.0,0.0,165.0,190.0,138.0,7.0,0.0,1664,335,0.0,1329,29977,4.64%,5.23%,0.48%,0.0,0.0
